razon_social,nombre_producto,numero_autorizacion,especies_autorizadas
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Basteado Sabor Res 65P,A-0730-327,sin dato
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colageno Con Carne de Res,A-0730-350,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Juguete de Carnaza Colágeno Con Carne de Pollo y Cacahuate,A-0730-352,sin dato
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Basteado Sabor Queso,A-0730-401,sin dato
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Basteado Sabor Cacahuate Tjs,A-0730-408,sin dato
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Carne de Pollo,A-0730-420,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Carne de Pato,A-0730-423,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Pollo y Cacahuate,A-0730-425,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Carne de Bisonte,A-0730-426,can
"Abastecedores Pecuarios Lozano, S.A. de C.V.",Hide Free Con Carne de Pollo 19P,A-0730-430,sin dato
"Acuachiapas, S.A.P.I de C.V.",Pet Pride Pate With Chicken Cat Food,A-10907-008,fel
"Acuachiapas, S.A.P.I de C.V.",Full Joy Con Pollo en Salsa,A-10907-016,can
"Acuachiapas, S.A.P.I de C.V.",Full Joy Paté Con Res,A-10907-019,can
"Acuachiapas, S.A.P.I. de C.V.",Pet Pride Cuts With Chicken & Salmon In Gravy Cat Food,A-10907-006,fel
"Acuachiapas, S.A.P.I. de C.V.",Pet Pride Pate With Tuna Cat Food,A-10907-007,fel
"Acuachiapas, S.A.P.I. de C.V.",Muk Pet Con Pollo,A-10907-009,fel
"Acuachiapas, S.A.P.I. de C.V.",Muk Pet Pate Con Atun,A-10907-010,alimento balanceado para gatos adultos
"Acuachiapas, S.A.P.I. de C.V.",Muk Pet Con Pollo y Salmón en Salsa,A-10907-011,fel
"Acuachiapas, S.A.P.I. de C.V.",Full Joy Paté Con Pollo,A-10907-018,can
"Acuachiapas, S.A.P.I. de C.V.",Full Joy With Chiken Cat Food,A-10907-001,fel
"Acuachiapas, S.A.P.I. de C.V.",Full Joy With Tuna Cat Food,A-10907-002,fel
"Acuachiapas, S.A.P.I. de C.V.",Full Joy With Chicken And Salmon Cat Food,A-10907-003,fel
"Acuachiapas, S.A.P.I., de C.V.",Full Joy Con Pollo en Salsa,A-10907-012,fel
"Acuachiapas, S.A.P.I., de C.V.",Full Joy Con Atún en Salsa,A-10907-013,fel
"Acuachiapas, S.A.P.I., de C.V.",Full Joy Paté Con Pollo,A-10907-014,fel
"Acuachiapas, S.A.P.I., de C.V.",Full Joy Paté Con Atún,A-10907-015,fel
Adisseo de México S.A de C.V,Unike Plus,A-0083-019,por bov
Adisseo de México S.A de C.V,Unike,A-0083-021,"por bov, aves"
Adisseo de México S.A de C.V,Toxy Nil,A-0083-031,sin dato
Adisseo de Mexico S.A. de C.V.,Fra Gut Balance Dw Liquid,A-0083-038,alimentos
"Adisseo de Mexico, S. A. de C. V.",Alterion Ne,A-0083-017,ave eng
"Adisseo de Mexico, S.A. de C.V.",Fra Gut Balance Dry,A-0083-036,"por, ave"
"Adisseo de Mexico, S.A. de C.V.",Fra C12 Premium Liquid,A-0083-039,por
"Adisseo de Mexico, S.A. de C.V.",Sn Tributyrin Dry,A-0083-040,"ave pos, por"
"Adisseo de México, S.A. de C.V.",Nutri Bind Aquz Dry,A-0083-026,cualquier especie
"Adisseo de México, S.A. de C.V.",Adimix Precision,A-0083-027,"aliemento, por, ave eng, ave, can, fel, conejos, ave pos"
"Adisseo de México, S.A. de C.V.",Mold-Nil Liquid,A-0083-033,conservador de alimento
"Adisseo de México, S.A. de C.V.",Fra Lecimax Dry,A-0083-034,"por, ave pos"
"Adisseo de México, S.A. de C.V.",Oxy-Nil Eqzero Premium Dry,A-0083-035,todas
"Adisseo de México, S.A. de C.V.",Fra C12 Dry,A-0083-037,"por, ave eng"
"Aditivos Alimenticios Itp de México, S.A. de C.V.",Capsoquin Liquid Ethoxyquin,A-10883-002,"por, ave eng, ave post, bov leche y carne, ovi, equ, fel, can"
"Aditivos Alimenticios Itp de México, S.A. de C.V.",Capsoquin On,A-10883-003,uso en alimentos para animales
"Aditivos Alimenticios Itp de México, S.A. de C.V.",Spectra B024N,A-10883-004,"can, fel"
"Aditivos y Premezclas Especiales, S.A. de C.V.",Ram Acid,A-1417-002,"ave, por, conejos"
"Aditivos y Premezclas Especiales, S.A. de C.V.",Ram Tox,A-1417-017,adsorbente de micotoxinas
"Aditivos y Premezclas Especiales, S.A. de C.V.",Detox,A-1417-023,"bov, ovi, por, can, avi, conejos"
"Aditivos y Premezclas Especiales, S.A. de C.V.",Eurotiox P07,A-1417-024,"bov (carne y leche), ovi, por, con, can, aves"
"Aditivos y Premezclas Especiales, S.A. de C.V.",Eurotiox 32 Premix,A-1417-025,"bov car, bov lech, ovi, por, conejos, can, ave car, ave pos"
"Aditivos y Vitaminas Mexicanas, S.A. de C.V.",Saborizante,A-7398-006,el el alimento para bovinos de leche y carne y porcinos
"Aditivos y Vitaminas Mexicanas, S.A. de C.V.",Bovimex Engorda Con Monensina,A-7398-007,bov
"Adler Pharma, S. de R.L. de C.V.",Rumeler,A-0970-001,bovinos
"Afb Flavorings Mexico, S. de R.L. de C.V.",Spectrum,A-1188-003,"fel, can"
"Afb Flavorings México, S. de R.L. de C.V.",Bioflavor F22013,A-1188-001,can y fel
"Afb Flavorings México, S. de R.L. de C.V.",Optimizor Lc 647,A-1188-004,can y fel
"Afb Flavorings México, S. de R.L. de C.V.",Optimizor B29039,A-1188-014,can y fel
"Afb Flavorings México, S. de R.L. de C.V.",Optimizor C28726,A-1188-026,can
Agribrands Purina Mexico S. de R. L. de C.V.,Reproductina Pesada Fase 2,A-0207-827,por
Agribrands Purina Mexico S. de R. L. de C.V.,Granja Familiar Finalizador Cerdos,A-207-1060,por
Agribrands Purina Mexico S. de R. L. de C.V.,Granja Familiar Gestacion y Lactancia,A-207-929,por
"Agribrands Purina México, S. A. de C. V.",Layina,A-0207-018,ave pos
"Agribrands Purina México, S. A. de C. V.",Jamonina Pt,A-0207-049,por
"Agribrands Purina México, S. A. de C. V.",Desarrollina Pt,A-0207-058,por
"Agribrands Purina México, S. A. de C. V.",Jamonina Pt,A-0207-1089,por
"Agribrands Purina México, S. A. de C. V.",Gestacion Hi-O Turbo,A-0207-1097,por
"Agribrands Purina México, S. A. de C. V.",Desarrollina Pt,A-0207-116,por
"Agribrands Purina México, S. A. de C. V.",Layina,A-0207-1162,ave pos
"Agribrands Purina México, S. A. de C. V.",Entrepelea,A-0207-126,gallos de pelea
"Agribrands Purina México, S. A. de C. V.",Iniciarina E.D.,A-0207-327,ave eng
"Agribrands Purina México, S. A. de C. V.",Pavitina 28,A-0207-402,pavos
"Agribrands Purina México, S. A. de C. V.",Pavicrecina 1,A-0207-408,pavos
"Agribrands Purina México, S. A. de C. V.",V-Ital Ganado,A-0207-647,bov car
"Agribrands Purina México, S. A. de C. V.",V-Ital Polla Crecimiento,A-0207-652,"ave pos, reproductoras"
"Agribrands Purina México, S. A. de C. V.",V-Ital Pollitos,A-0207-653,ave eng
"Agribrands Purina México, S. A. de C. V.",Granja Familiar Aves,A-0207-671,ave eng
"Agribrands Purina México, S. A. de C. V.",Gestacion Hi-O Turbo,A-0207-723,por
"Agribrands Purina México, S. A. de C. V.",Posturina L.C.,A-0207-755,ave pos
"Agribrands Purina México, S. A. de C. V.",V-Ital Ovinos,A-0207-757,ovi
"Agribrands Purina México, S. de R. L. de C. V.",Iniciarina A.E.,A-0207-822,pavos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina Mater Amable Vela,A- 0207-118,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina Mater Amable Vela,A- 0207-710,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Alimento Finalizador Cerdos,A-0207-020,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina N,A-0207-022,con
"Agribrands Purina Mexico, S. de R.L. de C.V.",Desarrollo Cerdos,A-0207-028,saco de polipropileno
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejos,A-0207-033,con
"Agribrands Purina Mexico, S. de R.L. de C.V.",Iniciarina E.R.,A-0207-035,ave eng
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pollitos,A-0207-037,ave (pollitos de engorda)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engordina E.R.,A-0207-038,ave eng
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pollos,A-0207-040,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Preportina,A-0207-041,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Startina,A-0207-085,ave (pollitas de postura y/o reproductoras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Growina,A-0207-086,ave pos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Crecentina,A-0207-087,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Uno Sm,A-0207-1010,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Uno Medicado,A-0207-1011,por (lechones en etapa de preiniciación)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Dos Sm,A-0207-1012,alimento balanceado para lechones en etapa de preiniciacion
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Dos Medicado,A-0207-1013,por (lechones en etapa de preiniciación)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Tres Sm,A-0207-1014,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ps Tres Medicado,A-0207-1015,por (lechones en etapa de preiniciación)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Nova Gallos Super Breed,A-0207-1031,alimento balanceado para gallinas y gallos de pelea
"Agribrands Purina Mexico, S. de R.L. de C.V.",Nova Gallos Super Breed Pro-Gene,A-0207-1032,alimento balanceado para aves reproductoras
"Agribrands Purina Mexico, S. de R.L. de C.V.",Omolene Fundamental,A-0207-1033,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Omelene 350 Racing Mix,A-0207-1034,equi (deporte)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Omolin Andariego,A-0207-1035,"alimento balanceado para caballos de trabajo, ligero a moderado"
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence Lord,A-0207-1048,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Celence Cavalleti,A-0207-1050,alimento para caballos
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence Nucleus,A-0207-1051,caballos
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence Potrina,A-0207-1053,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",Puricarne Sequia,A-0207-1056,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Nova Gallos Super Breed Pro-Flock,A-0207-1057,ave (gallinas y gallos de pelea)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Feedlot 14,A-0207-1059,bov engorda
"Agribrands Purina Mexico, S. de R.L. de C.V.",Transition 32,A-0207-1061,bov. carne
"Agribrands Purina Mexico, S. de R.L. de C.V.",Reproductina Ii Pesadas Lpa,A-0207-1066,alimento balanceado para gallinas reproductoras pesadas
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pre Layina Lpa,A-0207-1067,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Bflex 18%,A-0207-1068,alimento balanceado para bovinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence Horse Treats,A-0207-1069,equinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Loyall Life Super Premium,A-0207-1070,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Loyall Life Super Premium,A-0207-1071,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Loyall Life Super Premium,A-0207-1072,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Loyall Life Super Premium,A-0207-1074,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Startina Lpa,A-0207-1080,alimento balanceado para la iniciacion de pollitas de postura y/o reproductoras
"Agribrands Purina Mexico, S. de R.L. de C.V.",Crecentina,A-0207-1081,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Preiniciarina,A-0207-1085,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavifinalina 1,A-0207-1086,ave (pavos)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Granja Familiar Desarrollo Cerdos,A-0207-1088,por (etapa de crecimiento)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Fatina Completa,A-0207-109,bov (engorda)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavifinalina 1,A-0207-1095,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Lactacio Hi-O Turbo,A-0207-1096,porcinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Lechoncina Pt,A-0207-110,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Crecentina Pesada,A-0207-1102,aves (pollitas de postura y/o reproductoras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavicrecina 2,A-0207-1103,aves (pavos)
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence,A-0207-1111,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",Produccion Maxima,A-0207-1113,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Desarrollina Pt,A-0207-1116,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",X-Cellence Horse Treats,A-0207-1117,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",Venadina 20 Cb,A-0207-1118,venados
"Agribrands Purina Mexico, S. de R.L. de C.V.",Iniciarina A.E. 1,A-0207-1124,ave eng
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engorda Pavos 1,A-0207-1125,pavo
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engorda Pavos 1,A-0207-1130,pavo
"Agribrands Purina Mexico, S. de R.L. de C.V.",Transition 32,A-0207-1133,bov. carne
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pingo Sabor Carne,A-0207-1142,alimento balanceado para perros adultos de todas las razas.
"Agribrands Purina Mexico, S. de R.L. de C.V.",Gallos Fase 1,A-0207-1154,ave (gallinas de remplazo y/o gallos de pelea)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Inicio-Hi-O 50%,A-0207-1170,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Equinos Fase 1,A-0207-1175,equi
"Agribrands Purina Mexico, S. de R.L. de C.V.",Equinos Fase 3,A-0207-1177,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",Gati Pescado,A-0207-1179,alimento balanceado para gatos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Gati Mar y Tierra,A-0207-1180,alimento balanceado para gatos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pet Master,A-0207-1181,alimento balanceado para perros adultos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Keycan,A-0207-1182,alimento balanceado para perros.
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engorda Lean 10 Hi-O Turbo,A-0207-1192,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Premium 18,A-0207-1193,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Key Can 1,A-0207-1196,can
"Agribrands Purina Mexico, S. de R.L. de C.V.",Groundbreaker,A-0207-1198,equ
"Agribrands Purina Mexico, S. de R.L. de C.V.",Sustituto de Leche Purina,A-0207-1200,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Startina Lpa,A-0207-132,aves (iniciación de pollitas de postura y/o reproductoras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Growina Lpa,A-0207-133,alimento balanceado medicado con flavofosfolipol para pollas de reemplazo y postura y/o reproductoras
"Agribrands Purina Mexico, S. de R.L. de C.V.",Reproductina Ii Lpa,A-0207-134,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Expo Purina Bir,A-0207-144,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Nutricubos,A-0207-246,roe
"Agribrands Purina Mexico, S. de R.L. de C.V.",Rumina 32/Rm 200,A-0207-263,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Granja Familiar Finalizador Cerdos,A-0207-285,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Granja Familiar Desarrollo Cerdos,A-0207-287,por (etapa de crecimiento)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavicrecina 2,A-0207-389,aves (pavos)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavifinalina 1,A-0207-390,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Patonina,A-0207-392,ave (patos)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pavitina 26,A-0207-403,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Concen Lechonina (Vencido),A-0207-410,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Chinchilla Asociacion,A-0207-477,chinchillas
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ovina Engorda,A-0207-482,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ovina Reproductoras,A-0207-483,ovi
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ovina 32,A-0207-508,ovi
"Agribrands Purina Mexico, S. de R.L. de C.V.",Purimas Carne Extractos Chk,A-0207-510,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Becerrina 18,A-0207-540,bov bec
"Agribrands Purina Mexico, S. de R.L. de C.V.",Concen Gallos,A-0207-547,ave (gallos de pelea)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Rumi Tech Ste Final,A-0207-553,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Calf Tech,A-0207-555,bov (becerras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Desarrollina Pt Ractopamina,A-0207-566,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Gazapinatech,A-0207-567,gaz
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina Mater New,A-0207-569,lep
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina Asociacion,A-0207-575,conejos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche 850-18,A-0207-580,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pig Tec Bionova 2 Med A,A-0207-622,por (lechones)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pig Tech Bionova 3 Med C,A-0207-628,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pollo Deposito,A-0207-634,alimento completo para aves de corral
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pollo Expendio,A-0207-635,aves (engorda)
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Aves Inicio,A-0207-637,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pet Master,A-0207-638,alimento balanceado para perros cachorros de todas las razas
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pet Mster Raza Pequeña,A-0207-639,can (adultos de talla pequeña)
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Cat,A-0207-640,fel
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Cerdos 15-30 Kg,A-0207-641,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Cerdos 30-70 Kg,A-0207-642,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Cerdo Engorda,A-0207-643,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Equino Caballos,A-0207-645,equinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Gallos,A-0207-646,ave (combate)
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Lechones,A-0207-649,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Dogui Parrillada,A-0207-651,can adultos
"Agribrands Purina Mexico, S. de R.L. de C.V.",V-Ital Semillas,A-0207-656,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Granja Familiar Conejos,A-0207-660,lep
"Agribrands Purina Mexico, S. de R.L. de C.V.",Lechero Sur Extra 20%,A-0207-665,bovinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Avimix,A-0207-667,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engordina 5D,A-0207-669,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Omolene 300,A-0207-673,equi ( yeguas y potros en desarrollo)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Omolene 400 Power,A-0207-674,equi
"Agribrands Purina Mexico, S. de R.L. de C.V.",Engordina E.D. Tabasco,A-0207-677,ave eng
"Agribrands Purina Mexico, S. de R.L. de C.V.",Mega Plumax,A-0207-679,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Iniciarina E.D. Tabasco,A-0207-682,ave eng
"Agribrands Purina Mexico, S. de R.L. de C.V.",Ovina Engorda Mp,A-0207-690,ovi
"Agribrands Purina Mexico, S. de R.L. de C.V.",Cria Vaquina Multiparticulas,A-0207-691,becerras
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Propremium 16 (Vencido),A-0207-701,bov (lechero)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Propremium 18 (Vencido),A-0207-702,bov (lechero)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Propremium 20,A-0207-703,bov
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Super Premium 16,A-0207-705,bov (lecheras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Super Premium 18,A-0207-706,bov (lecheras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Generaleche Super Premium 20,A-0207-707,bov (lecheras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Conejina Mater Amable Vela,A-0207-710,conejos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Lacto Booster 3 Ae,A-0207-717,alimento para bovinos lecheros
"Agribrands Purina Mexico, S. de R.L. de C.V.",Cool Booster 4 la Jolla,A-0207-718,bov (lecheras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Lactacio Hi-O Turbo,A-0207-720,porcinos
"Agribrands Purina Mexico, S. de R.L. de C.V.",Crecimiento Hi-O Turbo,A-0207-721,por
"Agribrands Purina Mexico, S. de R.L. de C.V.",Desarrollo Hi-O Turbo,A-0207-724,por (desarrollo)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Crecentina Pesada,A-0207-725,aves (pollitas de postura y/o reproductoras)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Pato Reproductiva,A-0207-735,aves (patos)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Codor Reproductina Hp,A-0207-739,codorniz
"Agribrands Purina Mexico, S. de R.L. de C.V.",Potrerina 18 Tropico Zmx,A-0207-741,bov (engorda)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Codor Startina Hp,A-0207-742,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Casta Brava Plus E,A-0207-743,ave (gallos de pelea)
"Agribrands Purina Mexico, S. de R.L. de C.V.",Codor Engordina Hp,A-0207-745,ave
"Agribrands Purina Mexico, S. de R.L. de C.V.",Posturina Fase 1,A-0207-747,sin dato
"Agribrands Purina Mexico, S. de R.L. de C.V.",Finalizacion Lean Hi-O Turbo,A-0207-749,por
