nombre_producto,empresa,uso,num_certificado_o_registro,clasificacion,fecha_registro,fecha_vigencia
Viusid Aqua Liquido,Dermaceutical MeXico S.A. de C.V.,"Suplemento Alimenticio indicado como tratamiento de soporte. Camar¢n, tilapia, langosta, langostino, trucha, bagre y carpa",DGSA-DSAP-CSAUA-014-(2)/2013,aditivo,2022-05-20,2027-05-20
Oxi-Blend Aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-005-(1)/2017,antibiotico,2022-05-20,2027-05-20
Butifour Ccb,"Impextraco, S.A. de C.V.",aditivo,DGSA-DSAP-CSAUA-008-(3)/2022,aditivo,2022-05-20,2027-05-20
Flor-Blend Aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Antibiotico,DGSA-DSAP-CSAUA-002-(1)/2013,antibiotico,2022-05-24,2022-05-24
Digest 54 Plus,"Alltech México, S.A. de C.V.",aditivo,DGSA-DSAP-CSAUA-010-(3)/2022,aditivo,2022-06-02,2027-06-02
Aquatec Squilla Diaeta 1 Pl 400,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento para camarones en etapa de camarones y peces en etapa inicial,A-253/2022-003,alimento,2022-06-23,2027-07-23
Aquatec Squilla Diaeta 1 Pl 100,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para camarones en fase inicial hasta 0.2 g de peso y peces en fase inicial a 1 g,A- 253/2022-001,alimento,2022-06-23,2027-07-23
Aquatec Squilla Diaeta 1 Pl 200,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para camarones y peces,A- 253/2022-002,alimento,2022-06-23,2027-07-23
Viusid Aqua Polvo,Dermaceutical MeXico S.A. de C.V.,"Suplemento Alimenticio indicado como tratamiento de soporte. Camar¢n, tilapia, langosta, langostino, trucha, bagre y carpa",DGSA-DSAP-CSAUA-013-(2)/2013,aditivo,2022-07-20,2027-07-20
Viusid Aqua Polvo,Dermaceutical MeXico S.A. de C.V.,"Suplemento Alimenticio indicado como tratamiento de soporte. Camar¢n, tilapia, langosta, langostino, trucha, bagre y carpa",DGSA-DSAP-CSAUA-013-(2)/2013,aditivo,2022-07-20,2027-07-20
Viusid Aqua Liquido,Dermaceutical MeXico S.A. de C.V.,"Suplemento Alimenticio indicado como tratamiento de soporte. Camar¢n, tilapia, langosta, langostino, trucha, bagre y carpa",DGSA-DSAP-CSAUA-014-(2)/2013,aditivo,2022-07-20,2027-07-20
Total Range 30 Organico,"Vimifos, S.A. de C.V.",alimento para camarón,A-035/2022-011,alimento,2022-08-08,2027-08-08
Growfish,"Malta Texo de México, S.A. de C.V.",alimento para tilapias,A-136/2022-010,alimento,2022-08-08,2027-08-08
Eficosigma 4314,"Pacifico Aquaculture, S.A.P.I. de C.V.",alimento para lobina rayada,A-201/2022-001,alimento,2022-08-08,2027-08-08
Sanolife Pro-W,"Inve Aquaculture México, S.A. de C.V.",agente acondicionador de agua microabian para la obtención de estanques saludables,DGSA-DSAP-CSAUA-012-(3)/2022,aditivo,2022-08-18,2027-08-18
Lalsea Biorem,"Lallemand México, S.A. de C.V.",probioticos para estanques de camarones,DGSA-DSAP-CSAUA-007-(3)/2017,aditivo,2022-08-18,2027-08-18
Luctacid Ls 61979Z,"Lucta Mexicana, S.A. de C.V.",aditivo para su uso de alimentación acuícola,DGSA-DSAP-CSAUA-017-(3)/2017,aditivo,2022-08-19,2022-08-19
Sanolife Mic,"Inve Aquaculture México, S.A. de C.V.",acondicionador de agua para el manejo saludable en laboratorios de producción de camarón,DGSA-DSAP-CSAUA-013-(3)/2022,aditivo,2022-08-19,2027-08-19
Omnivoro Engorda Extruido Lc (32-5),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",alimentos para tilapias en fase de engorda,A-121/2022-001,alimento,2022-09-20,2027-09-20
Omnivoro Engorda Extruido Ad (25-5),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",alimento para tilapias en fase de engorda,A-121/2022-002,alimento,2022-09-20,2027-09-20
Omnivoro Engorda Extruido Hi- Pro (35-7),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",alimento para bagre en fase de engorda,A-121/2022/003,alimento,2022-09-20,2027-09-20
"Crustaceo Engorda Extruido 2,1 Mm Ad (35-7) Shp","Alimentos de Alta Calidad el Pedregal, S.A. de C.V.","alimento para camarón en etapa de pre-engorda y engorda a partir de 3,0 de peso vivo",A-121/2022/004,alimento,2022-09-20,2027-09-20
Larval Shrimp Flake Black,"Nutrición Marina, S.A. de C.V.",alimentpo para camarón en etapa de mysis a postlarvas,A-010/2022-001,alimento,2022-09-26,2027-09-26
Omnivoro Reproductor Extruido (35-5),"Alimentos de Alta Calidad el Pedregal, S.A. de C.V.",alimento para tilapias en fase de reproducción,A-121/2022-005,alimento,2022-09-27,2027-09-27
Sanolife Pro-S Fcm,"Inve Aquaculture México, S.A. de C.V.",mezcla microbian para el cultivo saludable del camarón adulto,DGSA-DSAP-CSAUA-014-(3)/2022,aditivo,2022-09-28,2027-09-28
Sanolife Pro-F Fcm,"Inve Aquaculture México, S.A. de C.V.",mezcla especifica de bacterias probióticas para la piscicultura,DGSA-DSAP-CSAUA-015-(3)/2022,aditivo,2022-09-28,2022-09-28
Megacid G,"Nutrición Marina, S.A. de C.V.",alimento balanceado para peces,DGSA-DSAP-CSAUA-016-(3)/2022,aditivo,2022-09-28,2027-09-28
Citropac Aca,"Netropac de México, S.A. de C.V.",Aditivo acidificante para camarones y peces (en todas las etapas),DGSA-DSAP-CSAUA-017-(3)/2022,aditivo,2022-10-17,2027-10-17
Aquapremiere 5215,"Vimifos, S.A. de C.V.",Alimento balanceado para camarones en etapa de iniación,A-35/2021-008,alimento,2022-10-21,2027-10-21
Natural Force Starter 30,"Vimifos, S.A. de C.V.",Alimento balanceado para camarones en etapa de iniación,A-035/2021-014,alimento,2022-10-31,2027-10-31
Aquapremiere 2005,"Vimifos, S.A. de C.V.","Alimento para clarias en etapa de iniación,desarrollo o engorda",A-035-2021-015,alimento,2022-10-31,2027-10-31
Trouwmix Camarón A10,"Trouw Nutrition México, S.A. de C.V.",Premezcla nutricional para camarones,DGSA-DSAP-CSAUA-018-(3)/2022,aditivo,2022-11-03,2027-11-03
Xtru-Dix 0,"Vimifos, S.A. de C.V.",Camar¢n (Litopenaeus vannamei),A-041/2019-002,alimento,2022-11-24,2027-11-24
Xtru-Dix 00,"Vimifos, S.A. de C.V.",Camar¢n (Litopenaeus vannamei),A-041/2019-001,alimento,2022-11-24,2027-11-24
Xtru-Dix 1,"Vimifos, S.A. de C.V.",Camar¢n (Litopenaeus vannamei),A-041/2019-003,alimento,2022-11-24,2027-11-24
Xtru-Dix 2,"Vimifos, S.A. de C.V.",Alimento balanceado para camaron (Litopenaeus vannamei),A-041/2019-004,alimento,2022-11-24,2027-11-24
Xtru-Dix 3,"Vimifos, S.A. de C.V.",Camar¢n (Litopenaeus vannamei),A-041/2019-005,alimento,2022-11-24,2027-11-24
Special Raceway E,"Vimifos, S.A. de C.V.",Alimento para maternidades de camar¢n del g‚nero Litopenaeus.,A-041/2014-009,alimento,2022-11-24,2027-11-24
Trucha 4215,"Vimifos, S.A. de C.V.",Alimento para trucha en etapa de finalización,A-035/2021-001,alimento,2022-11-24,2027-11-24
Trucha 4515,"Vimifos, S.A. de C.V.",Alimento flotante para trucha en etapa de inicación,A-035/2021-002,alimento,2022-11-24,2027-11-24
Trucha 4515 Salmonada,"Vimifos, S.A. de C.V.",Alimento para trucha en etapa de crecimiento,A-035/2021-003,alimento,2022-11-24,2027-11-24
Total Range Micro 35,"Vimifos, S.A. de C.V.",alimento para camarón en etapa de iniación,A-041-2021-006,alimento,2022-11-24,2027-11-24
Ez Artemia Ultra,"Nutrición Marina, S.A. de C.V.","productos de proteinas (de origen marino), proteinas vegetales, aceute de pescado, lecitina de soya, L-ascorbil-2-polifosfato (fuente de vitamina C), extracto de elvadura, propionato de calcio (preservador), ácido cítrico, FDYC amrillo N°5, dl-METIONINA, l-lisina, DL-alfa tocoferil acetato (Suplemento de vitamina E), FDYC rojo n°40, proteinato de manganeso, proteinato de zinc, proteinato de cobre, yodato de calco, proteinato de hierro, proteinato de cobalto, calcobanto de calcio, sodio selenito producto de fermentación de bacilluspumilus seco, BHA, BHT (preservador), TBHQ (preservador), TBHQ (preservador), acetato d vitamina A, suplemento de vitamina D3, Ssuplemento de vitamina B12, riboflavina 5-fosfato, niacina, D-calcio pantotenato, complejo de menadiona bisulfato de sodio (fuente de vitamina K inactivada), acido folico, tiaminamononitrato, clorhidrato de piridoxina, biotina. No contiene ingredientes de origen animal terrestre",A-010/2022-002,alimento,2022-11-24,2027-11-24
Aquatec Hd 38%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para camarones en estadios juveniles hasta 5 gramos de peso,A-253/2022-004,alimento,2022-11-29,2027-11-29
Aquatec Hd 42%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para camarones en estadios porslarvario hasta 1 gramo de peso,A-254/2022-006,alimento,2022-11-29,2027-11-29
Aquatec Hd 40%,"Nueva Tecnologia en Alimentación, S.A. de C.V.",alimento balanceado para camarones en estadios juveniles hasta 5 gramo de peso,A-253/2022-005,alimento,2022-11-29,2027-11-29
Special Raceway 0,"Vimifos, S.A. de C.V.",Alimento para maternidades o raceway de camarones,A-041/2014-007,alimento,2022-12-13,2027-12-13
Actipal Hd,"Specialites Pet Food, S.A de C.V.",Aditivo,DGSA-DSAP-CSAUA-004-(3)/2013,aditivo,2022-12-13,2022-12-13
Sff Microzyme Premix,"Vimifos, S.A. de C.V.",Premezcla de probioticos para alimento balanceado para camarOn,DGSA-DSAP-CSAUA-013-(3)/2017,aditivo,2023-02-28,2028-02-28
Sanolife Pro-F,"Inve Aquaculture México, S.A. de C.V.",Mezcla de bacterias probióticas para crías de peces.,DGSA-DSAP-CSAUA-001-(3)/2023,aditivo,2023-03-07,2028-03-07
Sanolife Pro-2,"Inve Aquaculture México, S.A. de C.V.",Mezcla microbiana para la cría de camarón.,DGSA-DSAP-CSAUA-002-(3)/2023,aditivo,2023-03-07,2028-03-07
Tilapia Crecimiento 32% Especial,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapia en fase de crecimiento.,A-281-2023-007,alimento,2023-03-13,2028-03-13
Alevin 43%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines de tilapia en fase de precría,A-281-2023-008,alimento,2023-03-13,2028-03-13
Tilapia Brodstrock 36%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines de tilapia en fase de crecimiento.,A-281-2023-009,alimento,2023-03-13,2028-03-13
Tilapia 32% Stress,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines de tilapia en fase de crecimiento.,A-281-2023-011,alimento,2023-03-13,2028-03-13
Alevin 42% (12% Gc),"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines de tilapia en fase de precría,A-281-2023-012,alimento,2023-03-13,2028-03-13
Tilapia 32%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapia en fase de crecimiento.,A-281-2023-013,alimento,2023-03-13,2028-03-13
Alevin 50%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines en fase de precría,A-281-2023-015,alimento,2023-03-13,2028-03-13
Alevin 43%,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para alevines de tilapia en fase de precría.,A-281/2023-008,alimento,2023-03-13,2028-03-13
Tilapia 32% Plus Soya,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de crecimiento,A-281/2023-006,alimento,2023-03-16,2028-03-16
Alevin 50% Migaja,"Campi Alimentos, S.A. de C.V.",Alimento balanceado extruido para tilapias en fase de crecimiento,A-281/2023-010,alimento,2023-03-16,2028-03-16
Di Heptarine S.,"Irdenco de México, S.A. de C.V.",Hepatoprotector. Terapia y prevención de alteraciones hepáticas de origen metabólico (sobrealimentación o ingesta de alto valor energético) o producidas por agentes bacterianos (Streptococcus agalactiae).,DGSA-DSAP-CSAUA-003-(2)/2023.,medicamento veterinario,2023-03-17,2028-03-17
Aquapremiere 2805,"Vimifos, S.A. de C.V.",Alimento para Tilapia Oreochromis spp. Y Bagre Ictalurus sp. en etapa de engorda,A-035/2014-002,alimento,2023-04-17,2028-04-17
Nutri-Bind Aqua Dry,"Adisseo de Mexico, S.A. de C.V.",Compactador de baja inclusión para uso exclusivo de la fabricación de alimento acuícola. Aditivo aglutinante en polvo con base a urea modificada para la estabilidad en el agua del alimento para camarón.,DGSA-DSAP-CSAUA-004-(3)/2023,aditivo,2023-04-19,2028-04-19
Epizym-Pst,"Proveedora de Insumos Acuicolas, S.A de C.V.",Tratamiento para suelos de estanques,DGSA-DSAP-CSAUA-006-(3)/2023.,sustancia quimica,2023-04-27,2023-04-27
Total Range 35,"Vimifos, S.A. de C.V.",Alimento para camaron en etapa de iniciación y engorda.,A-035/2014-005,alimento,2023-05-23,2028-05-23
Bumper Crop Starter 40,"Vimifos, S.A. de C.V.",Alimento para camarones en etapa de iniciacon,A-035/2023-002,alimento,2023-05-23,2028-05-23
Green Line 30,"Vimifos, S.A. de C.V.",alimento para camaron en etapa de engorda,A-035/2023-003,alimento,2023-05-23,2028-05-23
Aquanat Synergy,"Jefo de México, S.A. de C.V.",Acidificante y agente saborizante para alimentos para peces,DGSA-DSAP-CSAUA-007-(3)/2023,aditivo,2023-06-07,2028-06-07
Px Sel Shrmp 2013 A10,"Trouw Nutrition México, S.A. de C.V.",Premezcla nutricional para elaborar alimentos balanceados para camarón en todas sus etapas de vida,DGSA-DSAP-CSAUA-008-(3)/2023,aditivo,2023-06-07,2028-06-07
101993 Tilapia C,"Trouw Nutrition México, S.A. de C.V.",Premezcla de vitaminas y minerales para elaborar alimentos balanceados para tilapia en todas sus etapas de vida.,DGSA-DSAP-CSAUA-009-(3)/2023,aditivo,2023-06-07,2028-06-07
