razon_social,nombre_producto,numero_registro,especies_aprobadas_para_su_uso
"Ceva Salud Animal, S.A. de C.V.",Cevac Gumbo L,B-7378-027,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New K,B-7378-029,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Nd Ibd K,B-7378-031,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Nd Ib K,B-7378-032,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Bron 120 L,B-7378-034,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New L,B-7378-035,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Uni L,B-7378-036,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Vitabron L,B-7378-040,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Nd Ib Eds K,B-7378-043,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Broiler Nd K,B-7378-044,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Lt L,B-7378-045,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Nb L,B-7378-047,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Mass L,B-7378-048,ave
"Ceva Salud Animal, S.A. de C.V.",Coglapix,B-7378-049,por
"Ceva Salud Animal, S.A. de C.V.",Cevac Flukem C,B-7378-055,ave
"Ceva Salud Animal, S.A. de C.V.",Maximune 8,B-7378-066,ave
"Ceva Salud Animal, S.A. de C.V.",Respimune,B-7378-073,ave
"Ceva Salud Animal, S.A. de C.V.",Poximune,B-7378-074,ave
"Ceva Salud Animal, S.A. de C.V.",Poximune Ae,B-7378-075,ave
"Ceva Salud Animal, S.A. de C.V.",Tremormune,B-7378-076,ave
"Ceva Salud Animal, S.A. de C.V.",Multimune K5,B-7378-078,ave
"Ceva Salud Animal, S.A. de C.V.",Circomune,B-7378-080,ave
"Ceva Salud Animal, S.A. de C.V.",Choleramune M,B-7378-082,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Fp Lt+Ae,B-7378-084,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Fp Lt,B-7378-085,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Fp Mg+Ae,B-7378-086,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Fp-Mg,B-7378-087,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Ndv,B-7378-088,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Ibdf,B-7378-089,ave
"Ceva Salud Animal, S.A. de C.V.",Coglavax,B-7378-090,"bov, ovi, cap"
"Ceva Salud Animal, S.A. de C.V.",Cevac Transmune,B-7378-091,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Mg F,B-7378-094,ave
"Ceva Salud Animal, S.A. de C.V.",Hyogen,B-7378-095,por
"Ceva Salud Animal, S.A. de C.V.",Optimune Aiv,B-7378-097,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Sb1,B-7378-098,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Hvt,B-7378-099,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Hvt & Rispens,B-7378-100,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Hvt & Sb1,B-7378-101,ave
"Ceva Salud Animal, S.A. de C.V.",Layermune Se,B-7378-102,ave
"Ceva Salud Animal, S.A. de C.V.",Layermune 3,B-7378-103,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Corymune 4 K,B-7378-104,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Corymune 7K,B-7378-105,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New Flu Nf,B-7378-107,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Hvt & Sb1 Rispens,B-7378-108,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Ndv & Sb1,B-7378-109,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Md Rispens,B-7378-112,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Aiv,B-7378-113,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Flu H7 K,B-7378-118,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Ndv & Rispens,B-7378-119,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Flu,B-7378-120,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Hvt Lt,B-7378-122,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Vtm Hvt-Ibd & Rispens,B-7378-123,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New Flu H5 K,B-7378-124,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New Flu H5 K Nf,B-7378-125,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Flukem,B-7378-126,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac New Flukem,B-7378-127,ave
"Ceva Salud Animal, S.A. de C.V.",Ceva Valora,B-7378-128,por
"Ceva Salud Animal, S.A. de C.V.",Cevac Ibird,B-7378-130,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Multiflu H5 K,B-7378-131,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune Nd,B-7378-132,ave
"Ceva Salud Animal, S.A. de C.V.",Vectormune H7,B-7378-133,ave
"Ceva Salud Animal, S.A. de C.V.",Novamune,B-7378-134,ave
"Ceva Salud Animal, S.A. de C.V.",Circovac,B-7378-135,por
"Ceva Salud Animal, S.A. de C.V.",Parvoruvax,B-7378-136,por
"Ceva Salud Animal, S.A. de C.V.",Immucox 3,B-7378-137,ave
"Ceva Salud Animal, S.A. de C.V.",Immucox 5,B-7378-138,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Prevenflu-Nd 0.2,B-7378-139,ave
"Ceva Salud Animal, S.A. de C.V.",Ultifend Ibd Nd,B-7378-140,ave
"Ceva Salud Animal, S.A. de C.V.",Cevac Prevenflu-Nd 0.5,B-7378-141,ave
"Ceva Salud Animal, S.A. de C.V.",Nextmune,B-7378-142,ave
"Ceva Salud Animal, S.A. de C.V.",Ecoporc Shiga,B-7378-145,por
"Ceva Salud Animal, S.A. de C.V.",Maximune 6,B-7378-071,ave
"Cyta Farma, S.C.",Ecostaph Pm+3,B-7149-003,bov
"Diaplisa, S.A. de C.V.",Vacuna Triple Canina Dhl,B-6759-003,can
"Diaplisa, S.A. de C.V.",Vacuna Parvovirus Coronavirus Canino,B-6759-004,can
"Diaplisa, S.A. de C.V.",Vacuna Contra la Viruela Aviar Cepa Homologa,B-6759-005,ave
"Diaplisa, S.A. de C.V.",Vacuna Contra la Viruela Aviar Cepa Palomo,B-6759-006,ave
"Diaplisa, S.A. de C.V.",Vacuna Contra Parvovirus Canino Virus Vivo Modificado,B-6759-008,can
"Diaplisa, S.A. de C.V.",Vacuna Contra Distemper Canino,B-6759-009,can
"Diaplisa, S.A. de C.V.",Canirab Biosintesis,B-6759-010,"can, fel"
"Diaplisa, S.A. de C.V.",Canirab V.Z.,B-6759-012,"can, fel"
"Diaplisa, S.A. de C.V.",Doble Bovina Biomedica,B-6759-015,"bov, cap, ovi"
"Diaplisa, S.A. de C.V.",Vacuna Contra la Enfermedad de Newcastle Cepa B1 Biosintesis,B-6759-023,ave
"Diaplisa, S.A. de C.V.",Vacuna Contra la Enfermedad de Newcastle Cepa Lasota Biosintesis,B-6759-024,ave
"Diaplisa, S.A. de C.V.",Vacuna Contra la Rabia Paralitica V.A Biosintesis,B-6759-033,bov
"Diaplisa, S.A. de C.V.",Antrax Biosintesis,B-6759-035,"bov, equ, por, ovi, cap"
"Diaplisa, S.A. de C.V.",7 Vias Biosintesis,B-6759-036,"bov, cap, ovi"
"Diaplisa, S.A. de C.V.",8 Vias Biosintesis,B-6759-037,"bov, ovi"
"Diaplisa, S.A. de C.V.",11 Vias Biosintesis,B-6759-038,bov
"Diaplisa, S.A. de C.V.",Triple Bovina Biosintesis,B-6759-040,"bov, cap, ovi"
"Diaplisa, S.A. de C.V.",Pasteurellosis Biosintesis,B-6759-041,"bov, cap, ovi, equ, por"
"Diaplisa, S.A. de C.V.",Clostridium Doble Biosintesis,B-6759-042,"bov, cap, ovi"
"Diaplisa, S.A. de C.V.",Vacuna Triple Aviar Biosintesis,B-6759-043,ave
"Diaplisa, S.A. de C.V.",Vacuna Puppy Cuadruple Canina Biosintesis,B-6759-044,can
"Diaplisa, S.A. de C.V.",Vacuna Contra la Rabia Paralitica V.I Biosintesis,B-6759-045,"bov, ovi, cap, por, equ"
"Diaplisa, S.A. de C.V.",Vacuna Puppy Quintuple Canina Biosintesis,B-6759-046,can
"Distribuidora Maico de México, S.A. de C.V.",Infectious Bursal Disease Virus Antibody Test Kit (Idexx Ibd) / Kit Para la Detección de Anticuerpos Frente Al Virus de la Enfermedad de Gumboro,B-6617-001,ave
"Distribuidora Maico de México, S.A. de C.V.",Infectious Bronchiitis Virus Antibody Test Kit (Kit Para la Detección de Anticuerpos Frente Al Virus de la Bronquitis Infecciosa),B-6617-002,"bov, ovi"
"Distribuidora Maico de México, S.A. de C.V.",Avian Reovirus Antibody Test Kit (Kit Para la Detección de Anticuerpos Frente Al Virus de Reovirus Aviar),B-6617-003,ave
"Distribuidora Maico de México, S.A. de C.V.",Mycobacterium Bovis,B-6617-005,ave
"Distribuidora Maico de México, S.A. de C.V.",Pasteurella Multocida,B-6617-006,ave
"Distribuidora Maico de México, S.A. de C.V.",Mycoplasma Gallisepticum,B-6617-007,ave
"Distribuidora Maico de México, S.A. de C.V.",Chicken Anemia,B-6617-008,bov
"Distribuidora Maico de México, S.A. de C.V.",Brucelosis Antibody Test Kit / Tank Milk Kit Para la Detección de Anticuerpos Frente a la Brucelosis (Tanque de Leche),B-6617-009,"bov, ovi, cap"
"Distribuidora Maico de México, S.A. de C.V.",Brucelosis Antibody Test Kit (Brucellosus Serum) Kit Para la Detección de Anticuerpos Frente a la Brucelosis en Suero),B-6617-010,"bov, ovi, cap"
"Distribuidora Maico de México, S.A. de C.V.",Avian Pneumovirus,B-6617-011,ave
"Distribuidora Maico de México, S.A. de C.V.",Mycoplasma Synoviae,B-6617-012,"bov, cap, ovi"
"Distribuidora Maico de México, S.A. de C.V.",Mycoplasma Hyopneumoniae,B-6617-013,por
"Distribuidora Maico de México, S.A. de C.V.",Sindrome Respiratorio y Reproductor Porcino,B-6617-014,"can, fel"
"Distribuidora Maico de México, S.A. de C.V.",Encefalomielitis Aviar,B-6617-015,ave
"Distribuidora Maico de México, S.A. de C.V.",Sindrome Respiratorio y Reproductivo,B-6617-017,"can, fel"
"Distribuidora Maico de México, S.A. de C.V.",Feline Leukemia Virus Antigen - Feline Immunodeficiente y Virus Antibody Test Kit (Snap Combo),B-6617-018,fel
"Distribuidora Maico de México, S.A. de C.V.",Equine Infectious Anemia Virus Antibody Test Kit (Idexx Agid Eia) Kit Para la Detección de Anticuerpos Frente Al Virus de la Anemia Infecciosa Equina,B-6617-019,ave
"Distribuidora Maico de México, S.A. de C.V.",Equine Infectious Anemia Virus Antibody Test Kit (Idexx C Elisa Eia) Kit Para la Detección de Anticuerpos Frente Al Virus de la Anemia Infecciosa Equina (Idexx C Elisa Eia),B-6617-020,equ
"Distribuidora Maico de México, S.A. de C.V.",Bovine Viral Diarrhea Antigen Test Point-Of-Care (Idexx Bvdv Ag Point-Of-Care Test) Kit Para la Detección de Anticuerpos Frente Al Virus de la Diarrea Viral Bovina Idexx Bvdv Ag/ Point-Ofcare,B-6617-021,"bov, ovi, cap, equ"
"Distribuidora Maico de México, S.A. de C.V.",Bovine Viral Diarrhoea Virus (Bvdv) Atibody Tes Kit (Idexx Bvdv Total Ab),B-6617-022,"bov, ovi, cap"
"Distribuidora Maico de México, S.A. de C.V.",Avian Leukosis Virus Antibody Test Kit (Idexx Alv Ab) (Kit Para la Detección de Anticuerpos Frente Al Virus de Leucosis Aviar),B-6617-023,ave
"Distribuidora Maico de México, S.A. de C.V.",Reticuloendoteliosis,B-6617-024,ave
"Distribuidora Maico de México, S.A. de C.V.",Avian Leucosis Virus Antigen Test Kit (Idexx Alv Ag) (Kit Para Detección de Antígenos Frente Al Virus de la Leucosis Aviar) (Idexx Alv Ag),B-6617-027,can
"Distribuidora Maico de México, S.A. de C.V.","Rotavirus, Coronavirus, And E.Coli Test Kit (Idexx Rota-Corona-K99) Kit Para la Detección de Rotavirus, Coronavirus y E. Coli (Idexx Rota-Corona-K99)",B-6617-028,can
"Distribuidora Maico de México, S.A. de C.V.",Mycobacterium Paratuberculosis,B-6617-029,bov
"Distribuidora Maico de México, S.A. de C.V.",Influenza Porcina,B-6617-030,por
